(-957,45; -880,01; 2,70)
(-906,99; -852,18; 3,67)
(-851,91; -835,88; 4,80)
(-917,85; -996,58; 4,48)
(-860,57; -941,37; 2,71)
(-907,77; -901,09; 2,62)
(-697,92; -858,77; 3,80)
(-733,13; -697,76; 1,09)
(-823,52; -866,21; 1,91)
(-914,47; -682,83; 3,83)
(-870,10; -707,16; 2,88)
(-722,19; -952,75; 3,27)
(-804,29; -758,36; 3,88)
(-969,75; -833,79; 2,77)
(-701,12; -915,71; 4,09)
(-747,43; -996,99; 3,59)
(-744,43; -962,90; 3,52)
(-845,17; -896,42; 3,98)
(-896,53; -898,15; 3,58)
(-961,32; -831,39; 1,67)
(-875,22; -697,20; 4,59)
(11,87; -37,07; 3,16)
(1,05; -25,60; 6,24)
(6,38; -34,08; 5,81)
(37,47; -36,43; 3,22)
(36,46; -33,82; 7,17)
(25,96; -13,10; 2,96)
(13,17; -11,73; 1,85)
(110,57; -794,17; 2,94)
(54,83; -955,92; 4,73)
(282,24; -824,82; 1,84)
(3,36; -849,32; 2,33)
(9,10; -875,16; 3,21)
(169,14; -799,53; 3,62)
(161,79; -747,81; 1,33)
(323,08; -828,20; 1,75)
(175,63; -723,28; 1,81)
(101,74; -987,67; 1,47)
(85,53; -835,99; 1,14)
(318,97; -929,84; 1,80)
(92,78; -804,52; 1,93)
(129,57; -783,33; 4,52)
(9,72; -855,35; 1,09)
(180,84; -733,08; 3,64)
(245,72; -975,16; 2,27)
(21,19; -891,42; 2,36)
(25,81; -821,14; 3,71)
(10,34; -819,50; 1,14)
(87,39; -808,25; 2,18)
(276,77; -993,65; 2,95)
(181,94; -995,09; 4,28)
(92,26; -679,20; 3,48)
(92,69; -718,12; 4,80)
(117,42; -966,71; 2,71)
(251,41; -740,14; 4,06)
(306,37; -919,30; 3,72)
(150,00; -944,09; 1,24)
(323,94; -919,53; 4,71)
(297,92; -748,65; 4,73)
(307,85; -897,16; 1,05)
(136,91; -861,26; 4,45)
(182,99; -920,23; 4,10)
(102,24; -871,88; 2,48)
(302,26; -758,62; 2,20)
(171,63; -922,25; 3,56)
(245,12; -791,55; 2,38)
(266,31; -688,01; 3,68)
(111,15; -969,41; 2,96)
(160,87; -850,59; 2,40)
(152,92; -845,06; 4,52)
(110,37; -934,87; 3,79)
